"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","GE201...O.Órgão..prestador..é.também.o.prestador...direto.ou.indireto...dos.serviços.de.abastecimento.de.água.e.esgotamento.sanitário.no.município...Antigo.campo.GE056.","GE202...Há.empresa.com.contrato.de.DELEGAÇÃO..concessão.ou.contrato.de.programa..para.algum.ou.todos.os.serviços.de.limpeza.urbana.do.município...Antigo.campo.GE055.","POP_TOT...População.total.do.município..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município..Fonte..IBGE...Habitantes."
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Esgotamento Sanitário","Não","6749","901"
"220005","Acauã","PI","2002","","","","","5330","699"
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","Não","6840","913"
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Esgotamento Sanitário","Não","7354","1361"
"220005","Acauã","PI","1999","","","","","4568","599"
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","Não","6890","920"
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","Não","6933","926"
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5792","760"
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Esgotamento Sanitário","Não","6795","907"
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Abast Água e Esg Sanitário","Não","6913","923"
"220005","Acauã","PI","2000","","","","","5147","675"
"220005","Acauã","PI","2003","","","","","5416","710"
"220005","Acauã","PI","1997","","","","","4512","592"
"220005","Acauã","PI","2001","","","","","5246","688"
"220005","Acauã","PI","1998","","","","","4540","595"
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6300","1166"
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6437","1191"
"220005","Acauã","PI","2004","","","","","5594","734"
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5693","747"
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","Não","7413","2695"
"220025","Alagoinha do Piauí","PI","1995","","","","","8643","1967"
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Abastecimento de Água","Não","7467","2715"
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7736","2540"
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6112","1734"
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5977","1695"
"220025","Alagoinha do Piauí","PI","1996","","","","","7152","1628"
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6496","1842"
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7341","2669"
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","Não","7485","2721"
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Abastecimento de Água","Não","7378","2682"
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7447","2445"
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7662","2516"
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6249","1772"
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Abastecimento de Água","Sim","7501","2727"
"220025","Alagoinha do Piauí","PI","1997","","","","","7034","1601"
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6834","1556"
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6717","1905"
"220025","Alagoinha do Piauí","PI","1998","","","","","6934","1578"
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6868","1948"
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6614","1876"
"220027","Alegrete do Piauí","PI","2003","","","","","4782","2701"
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","Abastecimento de Água","Não","5215","2871"
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","5163","2843"
"220027","Alegrete do Piauí","PI","1999","","","","","4359","2274"
"220027","Alegrete do Piauí","PI","2002","","","","","4760","2689"
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4482","2510"
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos","Abastecimento de Água","Não","5211","2869"
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4595","2573"
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4610","2582"
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","Abastecimento de Água","Não","4832","2660"
"220027","Alegrete do Piauí","PI","2012","","","","","5173","2848"
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4853","2741"
"220027","Alegrete do Piauí","PI","1997","","","","","4380","2285"
"220027","Alegrete do Piauí","PI","2001","","","","","4736","2675"
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4827","2726"
"220027","Alegrete do Piauí","PI","1998","","","","","4370","2280"
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","5153","2837"
"220027","Alegrete do Piauí","PI","1995","","","","","4806","2507"
"220027","Alegrete do Piauí","PI","2000","","","","","4713","2662"
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","4878","2755"
"220027","Alegrete do Piauí","PI","1996","","","","","4393","2292"
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","5177","1895"
"220045","Alvorada do Gurguéia","PI","2004","","","","","4229","1485"
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","Não","Não","4238","1488"
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","5278","1932"
"220045","Alvorada do Gurguéia","PI","1997","","","","","4021","1412"
"220045","Alvorada do Gurguéia","PI","2002","","","","","4219","1482"
"220045","Alvorada do Gurguéia","PI","2001","","","","","4215","1480"
"220045","Alvorada do Gurguéia","PI","2005","","","","","4234","1487"
"220045","Alvorada do Gurguéia","PI","2000","","","","","4211","1479"
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","5115","1873"
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Abast Água e Esg Sanitário","Não","5249","1922"
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Abastecimento de Água","Não","5209","1917"
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","5216","1910"
"220045","Alvorada do Gurguéia","PI","1998","","","","","4006","1407"
"220045","Alvorada do Gurguéia","PI","1999","","","","","3991","1402"
"220045","Alvorada do Gurguéia","PI","2003","","","","","4222","1483"
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","Não","5120","1884"
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","4976","1831"
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","Não","5050","1849"
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","Não","Não","9456","4680"
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","8197","3829"
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9098","4503"
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9244","4575"
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7394","3455"
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9531","4717"
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9385","4645"
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","8434","3940"
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7673","3585"
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7757","3624"
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7322","3421"
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","8552","3995"
"220070","Anísio de Abreu","PI","1996","","","","","10021","2970"
"220070","Anísio de Abreu","PI","1995","","","","","10156","3010"
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7166","3348"
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7588","3545"
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","7257","3391"
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6663","1975"
"220070","Anísio de Abreu","PI","1997","","","","","6577","1949"
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9597","4750"
"220070","Anísio de Abreu","PI","1998","","","","","6620","1962"
"220090","Aroazes","PI","1995","","","","","5749","2035"
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6025","3171"
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5763","3421"
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5784","3433"
"220090","Aroazes","PI","1997","","","","","6102","2160"
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5773","3426"
"220090","Aroazes","PI","1996","","","","","6054","2143"
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6143","3233"
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6025","3354"
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5742","3408"
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6182","2188"
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6065","3192"
"220090","Aroazes","PI","1998","","","","","6142","2174"
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6032","3175"
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5857","3260"
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos","Não","Não","6019","3350"
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6165","3245"
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6083","3202"
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","6122","3222"
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5761","3419"
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5779","3430"
"220095","Aroeiras do Itaim","PI","2009","","","","","2759","264"
"220095","Aroeiras do Itaim","PI","2006","","","","","2620","251"
"220095","Aroeiras do Itaim","PI","2011","","","","","2441","238"
"220095","Aroeiras do Itaim","PI","2010","","","","","2440","238"
"220095","Aroeiras do Itaim","PI","2005","","","","","2591","248"
"220095","Aroeiras do Itaim","PI","2014","","","","","2460","240"
"220095","Aroeiras do Itaim","PI","2013","","","","","2459","240"
"220095","Aroeiras do Itaim","PI","2012","","","","","2442","238"
"220095","Aroeiras do Itaim","PI","2008","","","","","2731","261"
"220095","Aroeiras do Itaim","PI","2015","","","","","2460","240"
"220095","Aroeiras do Itaim","PI","2007","","","","","2654","254"
"220095","Aroeiras do Itaim","PI","2004","","","","","2561","245"
"220105","Assunção do Piauí","PI","2007","","","","","8011","3569"
"220105","Assunção do Piauí","PI","2008","","","","","8243","3672"
"220105","Assunção do Piauí","PI","2014","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Abast Água e Esg Sanitário","Não","7667","3452"
"220105","Assunção do Piauí","PI","2015","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Abastecimento de Água","Não","7686","3460"
"220105","Assunção do Piauí","PI","2006","","","","","7467","3050"
"220105","Assunção do Piauí","PI","2009","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP","Água","","","8370","3729"
"220105","Assunção do Piauí","PI","1997","","","","","6362","2599"
"220105","Assunção do Piauí","PI","2001","","","","","6955","2841"
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Abastecimento de Água","Não","7590","3417"
