"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","FN201...A.Prefeitura.cobra.pelos.serviços.de.coleta.regular..transporte.e.destinação.final.de.RSU..Antigo.campo.GE012...Sim.Não.","FN202...Forma.adotada..Antigo.campo.GE013.","FN203...Descrição.da.outra.forma.adotada..Antigo.campo.DESC_OUT_FORM_COBR.","FN204...Unidade.adotada.para.a.cobrança..no.caso.de.tarifa.","FN205...A.prefeitura.cobra.pela.prestação.de.serviços.especiais.ou.eventuais.de.manejo.de.RSU...Antigo.campo.GE014...Sim.Não.","FN206...Despesas.dos.agentes.públicos.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO132...R..ano.","FN207...Despesa.com.agentes.privados.para.execução.do.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO011...R..ano.","FN208...Despesa.total.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO009...R..ano.","FN209...Despesa.com.agentes.públicos.com.a.coleta.de.RSS..Antigo.campo.RS032...R..ano.","FN210...Despesa.com.empresas.contratadas.para.coleta.de.RSS..Antigo.campo.RS033...R..ano.","FN211...Despesa.total.com.a.coleta.de.RSS..Antigo.campo.RS035...R..ano.","FN212...Despesa.dos.agentes.públicos.com.o.serviço.de.varrição..Antigo.campo.VA037...R..ano.","FN213...Despesa.com.empresas.contratadas.para.o.serviço.de.varrição..Antigo.campo.VA019...R..ano.","FN214...Despesa.total.com.o.serviço.de.varrição..Antigo.campo.VA017...R..ano.","FN215...Despesa.com.agentes.públicos.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE043...R..ano.","FN216...Despesa.com.agentes.privados.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE044...R..ano.","FN217...Despesa.total.com.todos.os.agentes.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE046...R..ano.","FN218...Despesa.dos.agentes.públicos.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE023...R..ano.","FN219...Despesa.com.agentes.privados.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE009...R..ano.","FN220...Despesa.total.com.serviços.de.manejo.de.RSU..Antigo.campo.GE007...R..ano.","FN221...Receita.orçada.com.a.cobrança.de.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE005...R..ano.","FN222...Receita.arrecadada.com.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE006...R..ano.","FN223...Despesa.Corrente.da.Prefeitura.durante.o.ano.com.TODOS.os.serviços.do.município..saúde..educação..pagamento.de.pessoal..etc...Antigo.campo.GE010...R..ano.","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..x","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..y","FN225...Valor.repassado..Antigo.campo.GE026...R..ano.","FN226...Tipo.de.recurso..Antigo.campo.GE028."
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","1999","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","","","","Não","0","1e+05","1e+05","40000","0","40000","0","40000","40000","0","36000","36000","40000","176000","216000",,,,"Não","Não",,""
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2004","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Sim","Taxa específica no mesmo boleto do IPTU","","","Não","70948.21","0","70948.21","0","0","0","50639.56","0","50639.56","41234","0","41234","162821.77","0","162821.77","2000","2973.33","9149941.11","Não","Não",,""
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","","","","Não",,"0",,,"0",,,"0",,,"0",,"108000","0","108000",,,"14194870.57","Não","Não",,""
"220005","Acauã","PI","2003","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","","","","Não","85000","0","85000","10000","0","10000","60000","0","60000","10000","0","10000","165000","0","165000",,,"1900000","Não","Não",,""
"220005","Acauã","PI","2002","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2000","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2001","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,"11440","Não","Não",,""
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Sim","Taxa específica no mesmo boleto do IPTU","","","Não","25440",,"25440","0",,"0","16740",,"16740","6000",,"6000","48180",,"48180","2957.57","946.42","7528312","Não","Não",,""
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Sim","Taxa específica no mesmo boleto do IPTU","","","Não","66932.28","0","66932.28","0","0","0","44034.4","0","44034.4","38900","0","38900","149866.68","0","149866.68","2000","2646.26","7141290.5","Não","Não",,""
"220025","Alagoinha do Piauí","PI","1996","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
