"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_RS...Taxa.de.empregados.em.relação.à.população.urbana..empreg.1000.hab.","IN002_RS...Despesa.média.por.empregado.alocado.nos.serviços.do.manejo.de.rsu..R..empreg.","IN003_RS...Incidência.das.despesas.com.o.manejo.de.rsu.nas.despesas.correntes.da.prefeitura....","IN004_RS...Incidência.das.despesas.com.empresas.contratadas.para.execução.de.serviços.de.manejo.rsu.nas.despesas.com.manejo.de.rsu....","IN005_RS...Auto.suficiência.financeira.da.prefeitura.com.o.manejo.de.rsu....","IN006_RS...Despesa.per.capita.com.manejo.de.rsu.em.relação.à.população.urbana..R..hab.","IN007_RS...Incidência.de.empregados.próprios.no.total.de.empregados.no.manejo.de.rsu....","IN008_RS...Incidência.de.empregados.de.empresas.contratadas.no.total.de.empregados.no.manejo.de.rsu....","IN010_RS...Incidência.de.empregados.gerenciais.e.administrativos.no.total.de.empregados.no.manejo.de.rsu....","IN011_RS...Receita.arrecadada.per.capita.com.taxas.ou.outras.formas.de.cobrança.pela.prestação.de.serviços.de.manejo.rsu..R..habitante.ano."
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,"2.1","0","1.77","166.33",,,,"2.94"
"220005","Acauã","PI","2002","","",,,,,,,,,,
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","8.76",,,,,,"100","0","0",
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","3.67",,,,,,"100","0","0","0.7"
"220005","Acauã","PI","1999","","",,,,,,,,,,
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","4.35","54000",,"81.48",,"234.78","0","100","25",
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","6.48","18000","0.76","0",,"116.63","100","0",,
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,"1.78","0","1.83","179.52",,,,"3.28"
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","13","13750","8.68","0",,"178.76","100","0","0",
"220005","Acauã","PI","2000","","",,,,,,,,,,
"220005","Acauã","PI","2003","","",,,,,,,,,,
