"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água","QD002...Quantidades.de.paralisações.no.sistema.de.distribuição.de.água..Paralisações.ano.","QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.","QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.","QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..","QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.","QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.","QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.","QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..","QD012...Duração.dos.extravasamentos.registrados..Horas.ano.","QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.","QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.","QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.","QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.","QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.","QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.","QD022...Duração.das.interrupções.sistemáticas..Horas.ano.","QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.","QD024...Quantidade.de.serviços.executados..Serviços.ano.","QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.","QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.","QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.","QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.","QD029...Atendimento.integral.da.portaria.518.04"
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","50","84","95",,,,,,,"0",,,,,"0","0",,,,,,,
"220005","Acauã","PI","1999","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende integralmente","0","0","0","15","0","15","0",,,"0",,,"120","120","0","0","452","378",,"15","0","120",
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"4","2","4","0",,,,,,"60","120",,,,,,"4","0","120",
"220005","Acauã","PI","2004","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende integralmente",,,,"14","0","14","0",,,,,,"120","120",,,,,,"23","0","60",
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","0","0","0","0","0","0","0",,,"0",,,"0","0","0","0","0","0","0","0","0","0",
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende integralmente","0","0","0","7","0","7","2",,,"0",,,"120","120","0","0","234","126",,"7","4","120",
"220005","Acauã","PI","2003","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende integralmente","0","0","0","30","5","30","5",,,,,,"120","120","0","0","432","284",,"30","1","120",
"220005","Acauã","PI","2002","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2000","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2001","","","",,,,,,,,,,,,,,,,,,,,,,,
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende integralmente","0","0",,"10","3","10","0",,,,,,"120","120","0","0","118","118","4671","10","2","120",
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende parcialmente",,,,,,,,,,,,,,,,,,,,"10","0","60",
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","Atende parcialmente",,,,"11","6","11","2",,,,,,"60","60",,,,,,"11","1","60",
"220025","Alagoinha do Piauí","PI","1996","","","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1995","","","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","8","0","6","0",,,"0",,,"60","120","0","0","0","0","0","6","0","120",
