"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN071_AE...Economias.atingidas.por.paralisações..econ.paralis.","IN072_AE...Duração.média.das.paralisações..horas.paralis.","IN073_AE...Economias.atingidas.por.intermitências..econ.interrup.","IN074_AE...Duração.média.das.intermitências..horas.interrup.","IN075_AE...Incidência.das.análises.de.cloro.residual.fora.do.padrão..percentual.","IN076_AE...Incidência.das.análises.de.turbidez.fora.do.padrão..percentual.","IN077_AE...Duração.média.dos.reparos.de.extravasamentos.de.esgotos..horas.extrav.","IN079_AE...Índice.de.conformidade.da.quantidade.de.amostras...cloro.residual..percentual.","IN080_AE...Índice.de.conformidade.da.quantidade.de.amostras...turbidez..percentual.","IN082_AE...Extravasamentos.de.esgotos.por.extensão.de.rede..extrav.Km.","IN083_AE...Duração.média.dos.serviços.executados..hora.serviço.","IN084_AE...Incidência.das.análises.de.coliformes.totais.fora.do.padrão..percentual.","IN085_AE...Índice.de.conformidade.da.quantidade.de.amostras...coliformes.totais..percentual."
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","2","1.68",,,,,,,,,,,
"220005","Acauã","PI","1999","","",,,,,,,,,,,,,
"220005","Acauã","PI","1997","","",,,,,,,,,,,,,
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"0","0",,"12.5","12.5",,,"0","12.5"
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"50","0",,"3.33","6.67",,,"0","3.33"
"220005","Acauã","PI","2004","","",,,,,,,,,,,,,
"220005","Acauã","PI","1998","","",,,,,,,,,,,,,
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"0","0",,"11.67","11.67",,,"0","38.33"
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"0","28.57",,"5.83","5.83",,,"57.14","5.83"
"220005","Acauã","PI","2003","","",,,,,,,,,,,,,
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"16.67","16.67",,"25","25",,,"3.33","25"
"220005","Acauã","PI","2002","","",,,,,,,,,,,,,
"220005","Acauã","PI","2000","","",,,,,,,,,,,,,
"220005","Acauã","PI","2001","","",,,,,,,,,,,,,
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"30","0",,"8.33","8.33",,"39.58","20","8.33"
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,,,,,,,,"0","16.67"
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,"54.55","18.18",,"18.33","18.33",,,"9.09","18.33"
"220025","Alagoinha do Piauí","PI","1996","","",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1997","","",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1995","","",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"6.67","10",,,"0","5"
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"6.67","10",,,"0","16.67"
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,"0","0",,"8.33","8.33",,"13.82","0","8.33"
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"2.5","5",,,"0","2.5"
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,"84.62","0",,"21.67","21.67",,,"0","25"
"220025","Alagoinha do Piauí","PI","1998","","",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,,,,"0","0",,,,"0"
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"11.67","11.67",,,"20","8.33"
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,"4.17","0",,"40","40",,,"0","40"
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","2","1.3",,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,"20","0",,"33.33","33.33",,,"0","33.33"
"220027","Alegrete do Piauí","PI","1995","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,"1.51","0",
"220027","Alegrete do Piauí","PI","1998","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1997","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2002","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2003","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2000","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,"2","0",
"220027","Alegrete do Piauí","PI","2001","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1996","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1999","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,"1.5",,
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,"2","0",
"220027","Alegrete do Piauí","PI","2012","","",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","47","6","175","12","0","0",,"100","100",,"2","0","100"
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,"2",,
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","67","7.17","200","12","0","0",,"100","100",,"2.09","0","100"
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,"33.33","16.67",,"100","100",,"1.53","20","100"
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2000","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2005","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2002","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2003","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1999","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","109","27",,,"11","11",,"100","100",,"1.05","11","100"
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","188","7.5",,,"6.67","6.67",,"100","100",,"1","18","100"
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",,,,,"4.17","4.17",,"100","100",,,"3.33","100"
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",,,,,"4.17","4.17",,"100","100",,,"4.17","100"
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","327","9.33","980","4","6.67","6.67",,"100","100",,"0.97","18","100"
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",,,,,"4.17","4.17",,"100","100",,,"4.17","100"
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos",,,,,"2.5","2.5",,"100","100",,,"2.5","100"
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","109","27",,,"11","11",,"100","100",,"1.05","11","100"
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","255","9.25","510","1","6.67","6.67",,"100","100",,"0.82","18","100"
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","137","9.33",,,"6","10",,"100","100",,"0.92","14","100"
"220045","Alvorada do Gurguéia","PI","2001","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2004","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1998","","",,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1997","","",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","1997","","",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","21.87",,"26.67","26.67",,,"5.26","31.67"
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"21.67","21.67",,"72.64","0","21.67"
"220070","Anísio de Abreu","PI","1998","","",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"26.67","8.33",,,"0","18.33"
"220070","Anísio de Abreu","PI","1995","","",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"7.5","15",,,"0","7.5"
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos",,,,,"22.22","11.11",,"15","15",,,"11.11","15"
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","5","1.06",,,,,,,,,,,
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","2.86",,"36.67","29.17",,,"0","36.67"
"220070","Anísio de Abreu","PI","1996","","",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"7.5","15",,,"0","21.67"
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"7.5","15",,,"0","9.17"
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","36.36",,"27.5","27.5",,,"3.03","27.5"
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"25","25",,"28.38","20","25"
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4","1.03",,,,,,"0","0",,,,"0"
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,"0","0",,,,"0"
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"16.67","0",,"40","40",,,"8.33","40"
"220090","Aroazes","PI","1996","","",,,,,,,,,,,,,
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"37.04","0",,"45","45",,,"22.22","45"
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"66.67","0",,"15","15",,,"28.57","23.33"
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220090","Aroazes","PI","1995","","",,,,,,,,,,,,,
"220090","Aroazes","PI","1997","","",,,,,,,,,,,,,
"220090","Aroazes","PI","1998","","",,,,,,,,,,,,,
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,"0","0",,,,"0"
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","0",,"12.5","15",,,"0","12.5"
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"33.33","0",,"4.17","10",,,"0","10"
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,"0",
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"22.22","5.56",,"30","30",,,"0","26.67"
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos",,,,,"33.33","0",,"4.17","10",,,"0","25"
"220095","Aroeiras do Itaim","PI","2012","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2007","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2013","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2009","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2011","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2014","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2006","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2010","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2008","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2005","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2004","","",,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2015","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2003","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","1999","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2010","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",,"10",,,"37.5","37.5",,"66.67","66.67",,,"37.5","66.67"
"220105","Assunção do Piauí","PI","1997","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2005","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","320","6",,,"10","62.5",,"23.08","7.14",,"1.96","33.33","13.04"
"220105","Assunção do Piauí","PI","2004","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2008","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","1998","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",,"12",,,"37.5","37.5",,"66.67","66.67",,"1.8","37.5","66.67"
"220105","Assunção do Piauí","PI","2006","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2007","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2014","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","263","1385",,,"100","100",,"100","100",,"2.22","100","100"
"220105","Assunção do Piauí","PI","2001","","",,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2000","","",,,,,,,,,,,,,
