"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN041_RS...Taxa.de.terceirização.dos.varredores....","IN042_RS...Taxa.de.terceirização.da.extensão.varrida....","IN043_RS...Custo.unitário.médio.do.serviço.de.varrição..prefeitura...empresas.contratadas...R..Km.","IN044_RS...Produtividade.média.dos.varredores..prefeitura...empresas.contratadas...Km.empreg.dia.","IN045_RS...Taxa.de.varredores.em.relação.à.população.urbana..empreg.1000.hab.","IN046_RS...Incidência.do.custo.do.serviço.de.varrição.no.custo.total.com.manejo.de.rsu....","IN047_RS...Incidência.de.varredores.no.total.de.empregados.no.manejo.de.rsu....","IN048_RS...Extensão.total.anual.varrida.per.capita..Km.habitante.ano.","IN051_RS...Taxa.de.capinadores.em.relação.à.população.urbana..empreg.1000.hab.","IN052_RS...Incidência.de.capinadores.no.total.empregados.no.manejo.de.rsu...."
"220005","Acauã","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","0","0","13.68","2.57","4.44","29.38","36.36","3.57","0","0"
"220005","Acauã","PI","2002","","",,,,,,,,,,
"220005","Acauã","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","0",,,"0.62","3.29",,"37.5","0.64","3.29","37.5"
"220005","Acauã","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","0","0",,"3.99","1.47",,"40","1.84","0","0"
"220005","Acauã","PI","1999","","",,,,,,,,,,
"220005","Acauã","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","100","100","160","0.8","1.09","18.52","25","0.27","1.09","25"
"220005","Acauã","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos",,,,,,,,,,
"220005","Acauã","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","0",,"31.49","1.28","4.41","31.1","36.36","1.77","0","0"
"220005","Acauã","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22000540] PREFEITURA - SO","Água; Res Sólidos","0",,"62.5","1.02","3.25","36.36","25","1.04","6.5","50"
"220005","Acauã","PI","2000","","",,,,,,,,,,
"220005","Acauã","PI","2003","","",,,,,,,,,,
"220005","Acauã","PI","1997","","",,,,,,,,,,
"220005","Acauã","PI","2001","","",,,,,,,,,,
"220005","Acauã","PI","1998","","",,,,,,,,,,
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2004","","",,,,,,,,,,
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","0",,,,"2.97",,"23.53",,"1.48","11.76"
"220025","Alagoinha do Piauí","PI","1995","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,,"40.74",,,,
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1996","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","0",,,,"0.74",,"33.33",,"0.74","33.33"
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","100",,,,"0.75",,"22.22",,"0.75","22.22"
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos",,,,,"0","0","0",,"0","0"
"220025","Alagoinha do Piauí","PI","1997","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1998","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
